time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,regression_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
300,USDT,eg,-3.55,0.060000000000000005,10d 0H 0M 0S,4d 0H 0M 0S,raw,ols,rolling,2880,scaled,3,1,0.45,6.75,TRUE,1.6500000000000001,equal,1.55,28.95698166559363
300,BTC,eg,-3,0.08,21d 0H 0M 0S,44d 0H 0M 0S,log,ols,rolling,6048,scaled,2,2.35,0.2,6.95,TRUE,0.45,equal,1.4,4.8165765676585615
300,BTC,distance,-3.8,0.14,22d 0H 0M 0S,40d 0H 0M 0S,raw,ols,rolling,6336,scaled,2,2.4000000000000004,0.8,3.2,FALSE,0.05,equal,1.45,1.3664703623113137
300,USDT,eg,-2.95,0.060000000000000005,9d 0H 0M 0S,50d 0H 0M 0S,raw,ols,rolling,1440,scaled,4,1.7000000000000002,0,5.25,FALSE,0.65,weighted,1.2,3.0059432526414915
300,USDT,distance,-3.6,0.060000000000000005,20d 0H 0M 0S,8d 0H 0M 0S,log,ols,rolling,2016,scaled,4,1.7000000000000002,0.45,3.45,TRUE,0.8500000000000001,equal,1.5,1.6502357317490477
300,BTC,distance,-2.9,0.13,29d 0H 0M 0S,4d 0H 0M 0S,raw,ols,rolling,8352,scaled,3,2.2,0.55,4.45,FALSE,1.6500000000000001,weighted,1.1,4.773479243359464
300,USDT,distance,-3.25,0.16,46d 0H 0M 0S,24d 0H 0M 0S,log,ols,rolling,5472,scaled,3,2.2,0.9,5.800000000000001,FALSE,1.9000000000000001,weighted,1.2,2.3711450509056973
300,USDT,eg,-2.25,0.1,9d 0H 0M 0S,33d 0H 0M 0S,raw,ols,rolling,2592,scaled,3,2.05,0.6000000000000001,3.9,TRUE,0.8,scaled,1.15,12.219064441704198
300,USDT,eg,-2,0.11,19d 0H 0M 0S,16d 0H 0M 0S,raw,ols,rolling,5472,scaled,4,2.6500000000000004,0.6000000000000001,4.75,TRUE,1.9000000000000001,scaled,1.85,7.5213419449147905
300,USDT,eg,-3.1500000000000004,0.2,4d 0H 0M 0S,35d 0H 0M 0S,log,ols,rolling,1152,scaled,3,2.55,0.7000000000000001,6.7,TRUE,1.75,equal,2,29.42884393330349
300,USDT,distance,-2.5,0.33,58d 0H 0M 0S,30d 0H 0M 0S,raw,ols,rolling,576,scaled,3,2.85,0,4.3,FALSE,1.7000000000000002,scaled,1.6,1.8992152024045796
300,BTC,eg,-3.8,0.37,43d 0H 0M 0S,53d 0H 0M 0S,log,ols,rolling,4320,scaled,4,2.1500000000000004,1,5.9,FALSE,1.6,equal,1.9,2.8594539583477925
300,BTC,eg,-2.9,0.07,28d 0H 0M 0S,11d 0H 0M 0S,raw,ols,rolling,8064,scaled,2,1.7000000000000002,0.15000000000000002,4.05,TRUE,1.6,equal,1.9500000000000002,4.101431541558728
