time_resolution,train_window,test_window,quote_currency,adf_threshold,rolling_window,stop_threshold,signal_logic,model_type,overall_return
300,16d 0H 0M 0S,10d 0H 0M 0S,USDT,-2.96,4608,3.51,scaled,raw,4.683394825895197
300,38d 0H 0M 0S,15d 0H 0M 0S,USDT,-3.95,10944,6.48,scaled,log,3.5053391273617267
300,10d 0H 0M 0S,29d 0H 0M 0S,USDT,-2.79,2880,3.99,scaled,raw,3.3275722664045393
300,24d 0H 0M 0S,7d 0H 0M 0S,BTC,-3.22,5472,6.93,scaled,raw,2.551610482407301
300,44d 0H 0M 0S,24d 0H 0M 0S,USDT,-3.95,12672,5.82,scaled,log,2.461498710033292
900,8d 0H 0M 0S,40d 0H 0M 0S,BTC,-3.34,768,4.82,scaled,raw,2.4514886279859525
300,58d 0H 0M 0S,36d 0H 0M 0S,USDT,-1.73,16704,6.550000000000001,scaled,raw,2.43195391336027
300,20d 0H 0M 0S,32d 0H 0M 0S,USDT,-2.6799999999999997,4896,3.8,scaled,raw,2.4182448145368403
300,10d 0H 0M 0S,22d 0H 0M 0S,BTC,-2.99,2880,6.66,scaled,log,2.3663775843712838
300,14d 0H 0M 0S,31d 0H 0M 0S,USDT,-2.3200000000000003,4032,6.76,discrete,log,2.1481355900131844
300,24d 0H 0M 0S,27d 0H 0M 0S,USDT,-3.8000000000000003,6912,6.52,discrete,log,2.124878854828883
900,41d 0H 0M 0S,19d 0H 0M 0S,USDT,-3.3000000000000003,576,6.51,scaled,raw,2.1051801874930822
300,52d 0H 0M 0S,46d 0H 0M 0S,USDT,-2.9299999999999997,6048,4.21,scaled,raw,2.091559518669667
300,17d 0H 0M 0S,17d 0H 0M 0S,USDT,-3.95,4896,5.03,discrete,log,1.9711757834324333
300,17d 0H 0M 0S,12d 0H 0M 0S,BTC,-2.2800000000000002,4896,5.609999999999999,discrete,log,1.8398013152086985
300,37d 0H 0M 0S,55d 0H 0M 0S,USDT,-2.59,10656,6.13,scaled,raw,1.8317992405024313
300,13d 0H 0M 0S,33d 0H 0M 0S,BTC,-2.46,3744,6.53,discrete,log,1.7823489556463135
1800,60d 0H 0M 0S,23d 0H 0M 0S,USDT,-3.57,1536,6.99,scaled,log,1.774695594947855
300,40d 0H 0M 0S,24d 0H 0M 0S,BTC,-3.02,864,5.76,discrete,raw,1.7542430480066262
300,23d 0H 0M 0S,20d 0H 0M 0S,USDT,-1.13,6624,4.35,scaled,raw,1.7258140323203806
300,35d 0H 0M 0S,43d 0H 0M 0S,BTC,-1.9500000000000002,5184,6.26,discrete,log,1.7208961948238268
1800,23d 0H 0M 0S,7d 0H 0M 0S,BTC,-1.18,96,6.1,discrete,log,1.713574669743193
1800,35d 0H 0M 0S,10d 0H 0M 0S,BTC,-3.22,240,4.93,discrete,log,1.6945995939128125
300,19d 0H 0M 0S,45d 0H 0M 0S,BTC,-1.3,5472,6.800000000000001,discrete,log,1.6773638974862606
300,28d 0H 0M 0S,16d 0H 0M 0S,USDT,-1.3900000000000001,8064,6.78,discrete,raw,1.6729651433751105
300,41d 0H 0M 0S,47d 0H 0M 0S,USDT,-3.8000000000000003,5472,4.38,scaled,raw,1.6402892779486953
