time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,regression_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
300,BTC,distance,-2.55,0.08,14d 0H 0M 0S,43d 0H 0M 0S,raw,ols,rolling,4032,scaled,2,2,0.30000000000000004,5.25,TRUE,0.4,weighted,1.9,5.420542380054844
300,BTC,distance,-3.45,0.12000000000000001,35d 0H 0M 0S,16d 0H 0M 0S,log,ols,rolling,7776,scaled,2,2.95,0.45,3.2,TRUE,0.05,equal,1.5,2.6642583159202533
300,BTC,eg,-2.8,0.33999999999999997,37d 0H 0M 0S,16d 0H 0M 0S,raw,ols,rolling,10656,scaled,4,1.1,0.8,5.550000000000001,TRUE,1.1500000000000001,scaled,2,3.880696105951695
300,USDT,eg,-2.5,0.12000000000000001,57d 0H 0M 0S,10d 0H 0M 0S,raw,ols,rolling,15264,scaled,4,2.8,0.9,3.6,FALSE,1.6500000000000001,scaled,1.75,2.9319737348760397
300,BTC,eg,-3.85,0.060000000000000005,12d 0H 0M 0S,43d 0H 0M 0S,log,ols,rolling,3456,scaled,2,1.15,0.45,3.2,FALSE,1.6,equal,1.6,1.514736272560878
300,USDT,eg,-2.8,0.16,44d 0H 0M 0S,50d 0H 0M 0S,log,ols,rolling,8352,scaled,4,2.45,0.6000000000000001,6.7,FALSE,0.8,equal,1.5,2.7878118276940165
300,USDT,eg,-3.05,0.32,29d 0H 0M 0S,20d 0H 0M 0S,log,ols,rolling,8352,scaled,3,1.35,0.1,6.95,FALSE,1.75,equal,1,3.365867120998197
300,BTC,eg,-2.75,0.33999999999999997,38d 0H 0M 0S,59d 0H 0M 0S,raw,ols,rolling,9216,scaled,3,2.85,0.05,4.15,FALSE,0.5,weighted,1.7000000000000002,2.242760522769151
300,BTC,distance,-3.6500000000000004,0.09,11d 0H 0M 0S,16d 0H 0M 0S,raw,ols,rolling,3168,scaled,2,1.85,0.5,3.5,FALSE,1.55,equal,1.9500000000000002,2.2348483365427803
300,USDT,distance,-3.55,0.3,25d 0H 0M 0S,44d 0H 0M 0S,log,ols,rolling,7200,scaled,2,1.85,0.6000000000000001,6.95,TRUE,0.65,weighted,1.85,5.062049671223489
300,BTC,distance,-2.9,0.15000000000000002,60d 0H 0M 0S,15d 0H 0M 0S,log,ols,rolling,12096,scaled,2,2.25,0.15000000000000002,7,FALSE,0.15000000000000002,weighted,1.55,1.8089172674754288
300,USDT,distance,-2.15,0.2,45d 0H 0M 0S,57d 0H 0M 0S,log,ols,rolling,3744,scaled,2,2.6,0.35000000000000003,5,TRUE,1.1,weighted,1.75,3.936861987859972
300,USDT,eg,-2.9,0.39,16d 0H 0M 0S,28d 0H 0M 0S,raw,ols,rolling,4608,scaled,3,2.6,0.7000000000000001,3.8,TRUE,1.1500000000000001,scaled,1.85,17.018535536885576
300,BTC,distance,-2.4,0.07,10d 0H 0M 0S,23d 0H 0M 0S,log,ols,rolling,2880,scaled,3,1.4,0.6000000000000001,4.9,FALSE,1.2000000000000002,equal,1.65,1.5735115303285565
300,BTC,eg,-3.55,0.25,6d 0H 0M 0S,29d 0H 0M 0S,log,ols,rolling,1728,scaled,2,2.95,0.7000000000000001,4.45,TRUE,0.4,equal,1.75,18.64378254395555
300,USDT,eg,-2.05,0.18,31d 0H 0M 0S,56d 0H 0M 0S,log,ols,rolling,7488,scaled,4,2.6,0.8,6.35,FALSE,0.05,scaled,1.9,2.395620464457588
300,BTC,distance,-3.45,0.22000000000000003,30d 0H 0M 0S,14d 0H 0M 0S,log,ols,rolling,1728,scaled,4,1,0.4,5.75,TRUE,0.8,equal,1.65,4.330379233019599
300,USDT,distance,-4,0.36,4d 0H 0M 0S,49d 0H 0M 0S,raw,ols,rolling,1152,scaled,2,1.1,0.8500000000000001,4.2,TRUE,2,equal,2,42.919934923302506
300,USDT,eg,-4,0.24,11d 0H 0M 0S,24d 0H 0M 0S,raw,ols,rolling,3168,scaled,3,1.5,0.4,3.2,TRUE,2,scaled,1.4,23.371955331598947
300,BTC,eg,-3.85,0.14,23d 0H 0M 0S,56d 0H 0M 0S,log,ols,rolling,1440,scaled,4,2.1,0.30000000000000004,5.95,FALSE,1.2000000000000002,weighted,1.75,3.348974038811634
