time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
86400,BTC,distance,-3.85,30,44d 0H 0M 0S,30d 0H 0M 0S,log,fixed,4,discrete,2,1.9,0.4,6.95,FALSE,1.05,scaled,1.9,6087.872448208906
300,USDT,eg,-3.5500000000000003,12,25d 0H 0M 0S,20d 0H 0M 0S,raw,rolling,576,scaled,4,1.15,0.05,5.550000000000001,TRUE,0.8500000000000001,equal,1.25,890.4977454190225
300,USDT,eg,-1.1,18,53d 0H 0M 0S,25d 0H 0M 0S,raw,rolling,576,scaled,2,2.25,0.05,5.35,TRUE,1.55,equal,1.9,223.0160323703559
900,BTC,distance,-3.95,30,8d 0H 0M 0S,4d 0H 0M 0S,log,rolling,768,discrete,2,1.9,0.5,6.95,TRUE,0.25,scaled,1.8,166.8403373033673
300,USDT,eg,-2.95,26,38d 0H 0M 0S,30d 0H 0M 0S,log,rolling,576,scaled,2,2.55,0.75,3,TRUE,0.2,weighted,1.9,127.36261714467304
1800,BTC,distance,-2.75,24,26d 0H 0M 0S,50d 0H 0M 0S,raw,rolling,1248,scaled,4,2.8,0.25,6.550000000000001,FALSE,0.30000000000000004,scaled,1.6,31.626554373371768
300,BTC,distance,-3.35,22,12d 0H 0M 0S,24d 0H 0M 0S,log,fixed,3456,scaled,3,2.3,0.9500000000000001,3,TRUE,0.8500000000000001,scaled,1.9,23.799038086240646
300,BTC,distance,-1.05,22,39d 0H 0M 0S,51d 0H 0M 0S,raw,rolling,864,scaled,3,1.75,0.8,5.1,TRUE,0.2,scaled,1.7000000000000002,17.236019729045566
300,BTC,eg,-1.5,4,50d 0H 0M 0S,13d 0H 0M 0S,raw,rolling,576,scaled,4,1.75,0.35000000000000003,4.05,TRUE,0.9,weighted,1.65,14.22965833117542
300,USDT,distance,-3.75,30,8d 0H 0M 0S,57d 0H 0M 0S,raw,rolling,2304,scaled,2,2.45,0.45,3.3,TRUE,0.65,weighted,1.8,14.200969417500886
300,USDT,distance,-1.5,22,7d 0H 0M 0S,48d 0H 0M 0S,raw,rolling,2016,scaled,3,1.9500000000000002,0.45,3.6,TRUE,0.2,weighted,1.8,14.045927867580742
300,USDT,distance,-3.35,8,49d 0H 0M 0S,8d 0H 0M 0S,log,rolling,576,scaled,4,2.5,0.1,4.35,TRUE,0.9500000000000001,weighted,2,13.918814086166703
300,BTC,distance,-3,18,6d 0H 0M 0S,8d 0H 0M 0S,raw,rolling,576,scaled,3,1.15,0.30000000000000004,6.300000000000001,TRUE,1.05,equal,1.85,12.630005223523995
300,BTC,distance,-2.8,10,19d 0H 0M 0S,51d 0H 0M 0S,log,rolling,5472,scaled,3,2.2,0.8500000000000001,6.550000000000001,FALSE,0.05,scaled,1.9500000000000002,12.192833021447344
300,USDT,distance,-1.8,6,39d 0H 0M 0S,44d 0H 0M 0S,raw,rolling,4032,scaled,2,2.35,0.45,3.85,TRUE,1.7000000000000002,weighted,1,10.217750191133527
300,BTC,distance,-2.8,10,13d 0H 0M 0S,54d 0H 0M 0S,log,rolling,576,scaled,3,1.25,0.65,4.2,TRUE,0.7000000000000001,scaled,2,9.263618346001092
300,USDT,distance,-1.65,24,26d 0H 0M 0S,50d 0H 0M 0S,raw,rolling,7488,scaled,4,2.7,0.7000000000000001,4.65,TRUE,0.6000000000000001,scaled,1.5,8.802649216234615
