time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,regression_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
300,USDT,eg,-4,0.12000000000000001,48d 0H 0M 0S,51d 0H 0M 0S,raw,ols,rolling,13824,scaled,3,2.4000000000000004,0.15000000000000002,4,TRUE,1.05,equal,1.25,3.2807324055445997
300,USDT,eg,-2.85,0.39,39d 0H 0M 0S,5d 0H 0M 0S,raw,ols,rolling,2016,scaled,2,2.05,0.7000000000000001,6.25,FALSE,0.35000000000000003,weighted,1.15,10.768839236270825
300,USDT,distance,-2.15,0.12000000000000001,13d 0H 0M 0S,42d 0H 0M 0S,log,ols,rolling,3744,scaled,2,2.85,0.2,6.6,FALSE,1.6500000000000001,scaled,1.9500000000000002,5.7310093140823835
300,BTC,eg,-3.05,0.16999999999999998,21d 0H 0M 0S,9d 0H 0M 0S,raw,ols,rolling,6048,scaled,2,2.95,0.30000000000000004,3.15,FALSE,0.4,weighted,2,3.0127813190445125
300,USDT,distance,-2.5,0.4,44d 0H 0M 0S,44d 0H 0M 0S,log,ols,rolling,12672,scaled,2,1.1,0.8,6.25,TRUE,1.4500000000000002,equal,1.9,2.8603680000136826
300,USDT,distance,-2.5,0.27,35d 0H 0M 0S,16d 0H 0M 0S,log,ols,rolling,8064,scaled,3,1.75,0.5,4.8,TRUE,0.9,equal,1.15,3.574275474517658
300,BTC,eg,-2,0.060000000000000005,15d 0H 0M 0S,3d 0H 0M 0S,raw,ols,rolling,4032,scaled,3,1.05,0,6.45,TRUE,0.8500000000000001,equal,2,4.254307343825584
300,BTC,eg,-2.9,0.16,53d 0H 0M 0S,20d 0H 0M 0S,raw,ols,rolling,3744,scaled,2,1,0.45,3.7,FALSE,1.35,equal,1.4,3.011343797907935
300,USDT,eg,-3.75,0.11,23d 0H 0M 0S,54d 0H 0M 0S,log,ols,rolling,5472,scaled,2,2.85,0.35000000000000003,3.95,FALSE,0.9,scaled,1.7000000000000002,1.9371341592258005
300,BTC,distance,-2.4,0.13,35d 0H 0M 0S,30d 0H 0M 0S,log,ols,rolling,576,scaled,2,2.45,0.30000000000000004,6.550000000000001,TRUE,0.30000000000000004,equal,1.9500000000000002,18.209816529520673
300,BTC,eg,-2.25,0.22000000000000003,58d 0H 0M 0S,23d 0H 0M 0S,raw,ols,rolling,2016,scaled,4,3,0.9,7,FALSE,0.2,equal,1.9,8.31288271867109
300,BTC,distance,-2.65,0.11,49d 0H 0M 0S,27d 0H 0M 0S,log,ols,rolling,14112,scaled,4,1.25,0.8500000000000001,6.15,TRUE,0.5,scaled,1.3,1.1116774004675696
300,USDT,eg,-3.95,0.11,15d 0H 0M 0S,15d 0H 0M 0S,raw,ols,rolling,4320,scaled,3,1.35,0.25,5,FALSE,0,equal,1.5,7.69978262905318
300,BTC,eg,-2.4,0.32,25d 0H 0M 0S,18d 0H 0M 0S,log,ols,rolling,7200,scaled,3,1.1,0,4.1,TRUE,0.35000000000000003,scaled,1.6,3.023054288648894
300,BTC,eg,-3.8,0.27,26d 0H 0M 0S,20d 0H 0M 0S,log,ols,rolling,7488,scaled,3,1.4,1,5.95,FALSE,0.30000000000000004,scaled,1.9500000000000002,3.9081121938173293
