df_stat_mean,crit_value_1pct_mean,crit_value_5pct_mean,crit_value_10pct_mean,half_life_mean,df_stat_median,crit_value_1pct_median,crit_value_5pct_median,crit_value_10pct_median,half_life_median,time_resolution,start_date,end_date,length
-2.7057625670230943,-3.43,-2.86,-2.57,545.8782168214879,-2.5231222224980736,-3.43,-2.86,-2.57,200.3551806760285,900,2017-07-07,2017-08-23,-47
-2.2057633605723503,-3.43,-2.86,-2.57,358.62743429775406,-2.1565702728786786,-3.43,-2.86,-2.57,176.22610922290852,900,2017-01-29,2017-03-06,-36
-2.522634923848769,-3.43,-2.86,-2.57,44.65303924994091,-2.3399285980126603,-3.43,-2.86,-2.57,30.979251065588493,7200,2017-08-10,2017-09-27,-48
-3.358554839675208,-3.43,-2.86,-2.57,310.80222969480195,-3.280374087853975,-3.43,-2.86,-2.57,228.2402247506057,300,2017-03-16,2017-04-11,-26
-1.919454085917844,-3.43,-2.86,-2.57,109.42384767698698,-2.2436911870521747,-3.43,-2.86,-2.57,61.44468756880387,900,2017-06-03,2017-06-18,-15
-2.9640585262835466,-3.43,-2.86,-2.57,390.98382700511235,-2.713218271748578,-3.43,-2.86,-2.57,129.62421666845535,900,2017-04-17,2017-06-01,-45
-2.59457953582326,-3.43,-2.86,-2.57,29.28127066324215,-2.5756489507332136,-3.43,-2.86,-2.57,24.136956119784898,7200,2017-08-19,2017-10-03,-45
-2.2110017851247457,-3.51,-2.89,-2.58,7.5431242638090295,-2.1876276269328714,-3.51,-2.89,-2.58,4.2344400156921695,14400,2017-02-27,2017-03-12,-13
-3.6613266957992363,-3.43,-2.86,-2.57,215.99780883743503,-3.3764252352622024,-3.43,-2.86,-2.57,171.255452426437,300,2017-05-12,2017-06-04,-23
-2.529785135651482,-3.58,-2.93,-2.6,4.584461955618273,-2.5096405439355305,-3.58,-2.93,-2.6,2.761992946181265,86400,2017-02-08,2017-03-28,-48
-2.9221196214724605,-3.43,-2.86,-2.57,36.05098193285888,-2.9921802609947177,-3.43,-2.86,-2.57,26.09451055002221,1800,2017-01-17,2017-02-02,-16
