time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,regression_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
300,BTC,eg,-2.65,0.26,34d 0H 0M 0S,49d 0H 0M 0S,log,ols,rolling,7776,scaled,2,1.55,0,5.6,FALSE,0.2,equal,1.7000000000000002,3.2501246833683526
300,USDT,eg,-2.3,0.36,18d 0H 0M 0S,39d 0H 0M 0S,log,ols,rolling,5184,scaled,2,1.7000000000000002,0.9,4.45,FALSE,1.8,equal,1.8,2.161931032030234
300,BTC,distance,-2.15,0.3,31d 0H 0M 0S,48d 0H 0M 0S,raw,ols,rolling,7488,scaled,2,1.45,1,4.45,FALSE,0.7000000000000001,equal,1.65,2.2067482335796496
300,BTC,eg,-2.15,0.33,47d 0H 0M 0S,53d 0H 0M 0S,raw,ols,rolling,8928,scaled,3,1.7000000000000002,0.7000000000000001,6.9,TRUE,0.15000000000000002,scaled,1.9,3.2481603743512504
300,BTC,distance,-2.75,0.19,55d 0H 0M 0S,46d 0H 0M 0S,raw,ols,rolling,12384,scaled,2,2.1,0.7000000000000001,5.4,FALSE,0.9500000000000001,scaled,1.4,2.098848127923199
300,BTC,distance,-4,0.29,24d 0H 0M 0S,56d 0H 0M 0S,log,ols,rolling,6912,scaled,3,2.6,0.45,5.2,FALSE,0.35000000000000003,weighted,1.8,2.1527538979348275
300,BTC,eg,-2.25,0.31,55d 0H 0M 0S,34d 0H 0M 0S,raw,ols,rolling,4608,scaled,4,1.85,0.05,3.55,TRUE,1.25,weighted,1.35,4.334916616866403
300,USDT,distance,-2.4,0.1,36d 0H 0M 0S,19d 0H 0M 0S,log,ols,rolling,10368,scaled,2,1.1,0.6000000000000001,4.2,TRUE,0.55,scaled,1.3,2.664351687248066
300,USDT,eg,-2.25,0.18,18d 0H 0M 0S,37d 0H 0M 0S,log,ols,rolling,5184,scaled,2,2.75,0.7000000000000001,6.6,TRUE,1.4500000000000002,weighted,1.25,5.473466393612929
300,BTC,eg,-2.7,0.27,38d 0H 0M 0S,51d 0H 0M 0S,log,ols,rolling,8064,scaled,2,1.1,0,5.6,TRUE,1.9000000000000001,scaled,1.1,3.5212511251208407
300,USDT,distance,-2.85,0.33,30d 0H 0M 0S,8d 0H 0M 0S,log,ols,rolling,8640,scaled,4,2.25,0.7000000000000001,4.15,TRUE,1.7000000000000002,weighted,1,3.041677339957283
300,BTC,distance,-3.7,0.25,5d 0H 0M 0S,18d 0H 0M 0S,log,ols,rolling,1440,scaled,3,1.3,0.55,3.5,FALSE,1.1500000000000001,weighted,1.65,1.6829337262573996
300,BTC,eg,-3.7,0.26,13d 0H 0M 0S,8d 0H 0M 0S,log,ols,rolling,3744,scaled,3,2.8,0.25,3.6,TRUE,1.1500000000000001,equal,1.9500000000000002,5.965478291840742
300,BTC,eg,-2.15,0.22000000000000003,47d 0H 0M 0S,19d 0H 0M 0S,log,ols,rolling,11808,scaled,4,1.8,0.75,5.35,FALSE,1,weighted,1.3,1.7627243770670382
300,USDT,distance,-3.45,0.33,42d 0H 0M 0S,39d 0H 0M 0S,log,ols,rolling,1440,scaled,4,1.4,0.75,5,FALSE,0.30000000000000004,equal,1.15,2.227516546325468
300,BTC,distance,-2.25,0.09,55d 0H 0M 0S,18d 0H 0M 0S,log,ols,rolling,15840,scaled,2,2.55,0.75,5.4,FALSE,1.3,weighted,1.9500000000000002,1.0631035590861464
300,BTC,eg,-3.75,0.35,43d 0H 0M 0S,19d 0H 0M 0S,log,ols,rolling,6048,scaled,2,2.2,0.9500000000000001,3.8,TRUE,0.4,scaled,1.1,4.052339157177264
300,BTC,eg,-3.95,0.19,41d 0H 0M 0S,35d 0H 0M 0S,raw,ols,rolling,9792,scaled,4,2.4000000000000004,0.6000000000000001,4.5,TRUE,1.5,equal,2,6.012634568558459
